100
2 0
1 1
o 1 1
3 0
13 2
x 1 2
+ 1 5
12 1
o 1 5
100 99
+ 1 98
+ 1 94
+ 1 10
+ 1 31
+ 1 38
+ 1 17
+ 1 4
+ 1 80
+ 1 13
+ 1 70
+ 1 8
+ 1 97
+ 1 99
+ 1 59
+ 1 100
+ 1 19
+ 1 63
+ 1 87
+ 1 84
+ 1 75
+ 1 26
+ 1 44
+ 1 73
+ 1 25
+ 1 77
+ 1 21
+ 1 69
+ 1 51
+ 1 28
+ 1 39
+ 1 86
+ 1 9
+ 1 64
+ 1 81
+ 1 24
+ 1 43
+ 1 27
+ 1 96
+ 1 83
+ 1 50
+ 1 40
+ 1 54
+ 1 18
+ 1 11
+ 1 93
+ 1 37
+ 1 62
+ 1 92
+ 1 48
+ 1 85
+ 1 35
+ 1 29
+ 1 61
+ 1 20
+ 1 88
+ 1 82
+ 1 46
+ 1 56
+ 1 14
+ 1 36
+ 1 66
+ 1 7
+ 1 68
+ 1 15
+ 1 34
+ 1 6
+ 1 32
+ 1 30
+ 1 58
+ 1 3
+ 1 52
+ 1 71
+ 1 95
+ 1 57
+ 1 65
+ 1 16
+ 1 90
+ 1 74
+ 1 23
+ 1 76
+ 1 33
+ 1 67
+ 1 72
+ 1 22
+ 1 60
+ 1 89
+ 1 78
+ 1 55
+ 1 47
+ 1 91
+ 1 2
+ 1 49
+ 1 79
+ 1 12
+ 1 53
+ 1 45
+ 1 41
+ 1 42
+ 1 5
11 1
x 1 2
100 1
+ 1 1
33 2
+ 1 17
x 1 7
100 100
+ 1 67
+ 1 81
+ 1 96
+ 1 86
+ 1 68
+ 1 46
+ 1 78
+ 1 10
+ 1 72
+ 1 100
+ 1 6
+ 1 50
+ 1 74
+ 1 85
+ 1 40
+ 1 25
+ 1 90
+ 1 21
+ 1 91
+ 1 83
+ 1 59
+ 1 38
+ 1 8
+ 1 4
+ 1 75
+ 1 99
+ 1 48
+ 1 57
+ 1 29
+ 1 64
+ 1 60
+ 1 42
+ 1 89
+ 1 13
+ 1 94
+ 1 31
+ 1 44
+ 1 11
+ 1 70
+ 1 84
+ 1 14
+ 1 34
+ 1 65
+ 1 3
+ 1 76
+ 1 37
+ 1 80
+ 1 54
+ 1 33
+ 1 79
+ 1 51
+ 1 73
+ 1 18
+ 1 15
+ 1 62
+ 1 88
+ 1 52
+ 1 19
+ 1 12
+ 1 43
+ 1 30
+ 1 98
+ 1 28
+ 1 92
+ 1 97
+ 1 39
+ 1 47
+ 1 45
+ 1 24
+ 1 63
+ 1 26
+ 1 22
+ 1 5
+ 1 35
+ 1 93
+ 1 16
+ 1 9
+ 1 2
+ 1 27
+ 1 53
+ 1 55
+ 1 41
+ 1 69
+ 1 58
o 1 1
+ 1 95
+ 1 20
+ 1 49
+ 1 56
+ 1 87
+ 1 66
+ 1 82
+ 1 71
+ 1 7
+ 1 77
+ 1 36
+ 1 17
+ 1 23
+ 1 32
+ 1 61
1 1
+ 1 1
100 6
+ 1 80
x 1 26
+ 1 66
+ 1 8
+ 1 10
+ 1 3
100 4
+ 1 1
+ 1 4
+ 1 95
+ 1 30
100 4
+ 1 49
+ 1 26
+ 1 1
+ 1 7
100 100
+ 1 67
+ 1 4
+ 1 77
+ 1 26
+ 1 18
+ 1 78
+ 1 92
+ 1 88
+ 1 74
+ 1 19
+ 1 60
+ 1 54
+ 1 14
+ 1 24
+ 1 41
+ 1 42
+ 1 73
+ 1 27
+ 1 37
+ 1 15
+ 1 48
+ 1 16
+ 1 70
+ 1 17
+ 1 46
+ 1 76
+ 1 51
+ 1 2
+ 1 96
+ 1 80
+ 1 50
+ 1 25
+ 1 100
+ 1 20
+ 1 86
+ 1 43
+ 1 85
+ 1 63
+ 1 53
+ 1 34
+ 1 95
+ 1 87
+ 1 90
+ 1 71
+ 1 40
+ 1 98
+ 1 75
+ 1 91
+ 1 21
+ 1 81
+ 1 33
+ 1 62
+ 1 23
+ 1 66
+ 1 31
+ 1 68
+ 1 10
+ 1 94
+ 1 52
+ 1 49
+ 1 9
+ 1 97
+ 1 3
+ 1 32
+ 1 64
+ 1 11
+ 1 79
+ 1 5
+ 1 99
+ 1 93
+ 1 22
+ 1 69
+ 1 6
+ 1 47
+ 1 89
+ 1 29
+ 1 57
+ 1 7
+ 1 13
+ 1 61
x 1 1
+ 1 45
+ 1 12
+ 1 39
+ 1 65
+ 1 83
+ 1 58
+ 1 84
+ 1 44
+ 1 28
+ 1 36
+ 1 35
+ 1 8
+ 1 56
+ 1 59
+ 1 38
+ 1 55
+ 1 82
+ 1 72
+ 1 30
86 2
+ 1 24
o 1 74
23 3
+ 1 19
+ 1 9
x 1 22
100 2
+ 1 7
+ 1 1
96 3
+ 1 61
+ 1 48
x 1 56
17 2
x 1 12
+ 1 1
98 3
+ 1 36
x 1 51
+ 1 73
36 4
o 1 26
+ 1 28
+ 1 9
+ 1 4
100 100
+ 1 83
+ 1 19
+ 1 88
+ 1 95
+ 1 26
+ 1 51
+ 1 99
+ 1 2
+ 1 40
+ 1 70
+ 1 85
+ 1 64
+ 1 61
+ 1 80
+ 1 33
+ 1 81
+ 1 39
+ 1 53
+ 1 4
+ 1 79
+ 1 76
+ 1 100
+ 1 74
+ 1 41
+ 1 86
+ 1 55
+ 1 29
+ 1 5
+ 1 91
+ 1 1
+ 1 11
+ 1 38
+ 1 57
+ 1 30
+ 1 60
+ 1 34
+ 1 82
+ 1 78
+ 1 14
+ 1 28
+ 1 31
+ 1 47
+ 1 12
+ 1 98
+ 1 50
+ 1 66
+ 1 77
+ 1 18
+ 1 44
+ 1 92
+ 1 49
+ 1 32
+ 1 16
+ 1 69
+ 1 62
+ 1 37
+ 1 48
+ 1 46
+ 1 6
+ 1 84
+ 1 36
+ 1 65
+ 1 24
+ 1 27
+ 1 75
+ 1 89
+ 1 9
+ 1 94
+ 1 20
+ 1 68
+ 1 15
+ 1 22
+ 1 43
+ 1 97
+ 1 17
+ 1 52
+ 1 93
+ 1 21
+ 1 45
+ 1 13
+ 1 8
+ 1 35
+ 1 42
+ 1 58
+ 1 10
+ 1 87
+ 1 54
+ 1 71
+ 1 25
+ 1 56
+ 1 7
+ 1 96
+ 1 72
+ 1 59
+ 1 3
+ 1 73
+ 1 90
+ 1 23
+ 1 63
+ 1 67
100 5
+ 1 16
+ 1 1
+ 1 93
+ 1 27
+ 1 9
100 3
+ 1 1
+ 1 69
+ 1 17
100 4
+ 1 5
+ 1 1
+ 1 82
+ 1 33
10 3
o 1 10
+ 1 1
+ 1 8
70 2
o 1 62
+ 1 21
100 6
+ 1 54
+ 1 21
+ 1 2
+ 1 18
+ 1 1
+ 1 17
70 2
+ 1 53
x 1 15
70 4
+ 1 18
x 1 9
+ 1 53
+ 1 55
59 3
+ 1 46
o 1 24
+ 1 11
100 2
+ 1 1
x 1 28
40 1
x 1 21
100 2
+ 1 29
+ 1 1
79 4
+ 1 22
x 1 26
+ 1 46
+ 1 30
68 3
x 1 26
+ 1 39
+ 1 7
100 99
+ 1 52
+ 1 96
+ 1 89
+ 1 87
+ 1 71
+ 1 66
+ 1 33
+ 1 60
+ 1 82
+ 1 30
+ 1 45
+ 1 73
+ 1 74
+ 1 15
+ 1 67
+ 1 11
+ 1 29
+ 1 91
+ 1 55
+ 1 5
+ 1 97
+ 1 62
+ 1 77
+ 1 68
+ 1 18
+ 1 84
+ 1 42
+ 1 3
+ 1 19
+ 1 1
+ 1 78
+ 1 100
+ 1 94
+ 1 80
+ 1 70
+ 1 41
+ 1 9
+ 1 26
+ 1 25
+ 1 92
+ 1 46
+ 1 8
+ 1 24
+ 1 99
+ 1 93
+ 1 22
+ 1 17
+ 1 34
+ 1 53
+ 1 90
+ 1 36
+ 1 61
+ 1 32
+ 1 69
+ 1 27
+ 1 49
+ 1 14
+ 1 86
+ 1 12
+ 1 13
+ 1 38
+ 1 20
+ 1 37
+ 1 76
+ 1 35
+ 1 88
+ 1 31
+ 1 47
+ 1 44
+ 1 95
+ 1 79
+ 1 98
+ 1 56
+ 1 40
+ 1 23
+ 1 7
+ 1 21
+ 1 4
+ 1 58
+ 1 65
+ 1 59
+ 1 39
+ 1 16
+ 1 81
+ 1 72
+ 1 75
+ 1 28
+ 1 50
+ 1 83
+ 1 63
+ 1 10
+ 1 57
+ 1 85
+ 1 51
+ 1 43
+ 1 6
+ 1 48
+ 1 54
+ 1 64
48 2
x 1 8
+ 1 22
41 2
+ 1 19
o 1 23
100 2
+ 1 1
x 1 13
10 2
x 1 9
+ 1 6
100 4
+ 1 1
+ 1 72
+ 1 33
+ 1 27
100 3
+ 1 42
+ 1 3
+ 1 63
46 2
+ 1 26
o 1 46
98 2
+ 1 25
x 1 64
100 100
+ 1 26
+ 1 85
+ 1 33
+ 1 79
+ 1 30
+ 1 53
+ 1 4
+ 1 83
+ 1 96
+ 1 41
+ 1 90
+ 1 28
+ 1 39
+ 1 58
+ 1 25
+ 1 70
+ 1 74
+ 1 37
+ 1 13
+ 1 46
+ 1 51
+ 1 77
+ 1 7
+ 1 49
+ 1 48
+ 1 55
+ 1 94
+ 1 73
+ 1 10
+ 1 16
+ 1 20
+ 1 1
+ 1 66
+ 1 3
+ 1 23
+ 1 9
+ 1 18
+ 1 72
+ 1 80
+ 1 57
+ 1 36
+ 1 11
x 1 2
+ 1 32
+ 1 6
+ 1 65
+ 1 47
+ 1 69
+ 1 19
+ 1 43
+ 1 67
+ 1 35
+ 1 91
+ 1 62
+ 1 99
+ 1 27
+ 1 63
+ 1 100
+ 1 56
+ 1 59
+ 1 68
+ 1 42
+ 1 71
+ 1 93
+ 1 22
+ 1 82
+ 1 17
+ 1 5
+ 1 60
+ 1 31
+ 1 86
+ 1 78
+ 1 45
+ 1 61
+ 1 98
+ 1 12
+ 1 81
+ 1 89
+ 1 88
+ 1 76
+ 1 40
+ 1 34
+ 1 84
+ 1 87
+ 1 24
+ 1 29
+ 1 38
+ 1 15
+ 1 64
+ 1 95
+ 1 75
+ 1 44
+ 1 14
+ 1 8
+ 1 21
+ 1 52
+ 1 92
+ 1 97
+ 1 54
+ 1 50
8 5
x 1 4
+ 1 3
+ 1 5
+ 1 2
+ 1 8
64 4
x 1 12
+ 1 36
+ 1 35
+ 1 55
100 5
+ 1 1
+ 1 69
+ 1 33
+ 1 12
+ 1 46
100 6
+ 1 21
x 1 86
+ 1 2
+ 1 51
+ 1 78
+ 1 1
52 2
o 1 23
+ 1 50
60 2
o 1 14
+ 1 29
100 6
+ 1 1
+ 1 51
+ 1 24
+ 1 3
+ 1 47
+ 1 74
1 0
2 2
+ 1 1
+ 1 2
1 1
x 1 1
35 2
+ 1 27
o 1 17
100 5
+ 1 65
x 1 93
+ 1 6
+ 1 1
+ 1 2
100 2
+ 1 56
+ 1 1
12 2
+ 1 12
o 1 7
54 3
+ 1 37
o 1 33
+ 1 14
79 1
x 1 18
100 5
+ 1 13
+ 1 95
+ 1 6
+ 1 32
+ 1 2
100 100
+ 1 98
+ 1 95
+ 1 5
+ 1 81
+ 1 44
+ 1 34
+ 1 9
+ 1 6
+ 1 76
+ 1 82
+ 1 46
+ 1 59
+ 1 93
+ 1 97
+ 1 19
+ 1 86
+ 1 36
+ 1 49
+ 1 83
+ 1 66
+ 1 56
+ 1 37
+ 1 1
+ 1 21
+ 1 39
+ 1 3
+ 1 13
+ 1 32
+ 1 55
+ 1 51
+ 1 38
+ 1 75
+ 1 24
+ 1 43
+ 1 42
+ 1 94
+ 1 62
+ 1 92
+ 1 15
+ 1 28
+ 1 74
+ 1 18
o 1 2
+ 1 90
+ 1 70
+ 1 89
+ 1 69
+ 1 20
+ 1 77
+ 1 48
+ 1 65
+ 1 16
+ 1 85
+ 1 80
+ 1 63
+ 1 26
+ 1 71
+ 1 68
+ 1 35
+ 1 79
+ 1 31
+ 1 45
+ 1 91
+ 1 96
+ 1 52
+ 1 50
+ 1 99
+ 1 25
+ 1 53
+ 1 41
+ 1 100
+ 1 23
+ 1 4
+ 1 30
+ 1 60
+ 1 78
+ 1 72
+ 1 29
+ 1 12
+ 1 22
+ 1 64
+ 1 33
+ 1 58
+ 1 54
+ 1 73
+ 1 27
+ 1 11
+ 1 67
+ 1 10
+ 1 88
+ 1 7
+ 1 57
+ 1 17
+ 1 14
+ 1 47
+ 1 61
+ 1 40
+ 1 8
+ 1 87
+ 1 84
56 1
o 1 19
55 2
x 1 49
+ 1 11
98 2
+ 1 22
o 1 10
9 4
+ 1 8
+ 1 4
+ 1 1
o 1 3
100 5
+ 1 12
+ 1 67
+ 1 18
+ 1 2
+ 1 1
100 1
x 1 42
100 2
x 1 10
+ 1 1
7 3
+ 1 7
x 1 3
+ 1 2
27 3
+ 1 16
o 1 22
+ 1 20
32 3
+ 1 8
+ 1 2
x 1 32
100 0
23 1
o 1 23
100 1
x 1 84
100 3
x 1 72
+ 1 3
+ 1 1
58 5
x 1 52
+ 1 43
+ 1 1
+ 1 33
+ 1 53
20 2
+ 1 8
x 1 19
100 5
+ 1 83
+ 1 2
+ 1 7
+ 1 1
+ 1 15
25 2
x 1 1
+ 1 16
100 3
x 1 76
+ 1 1
+ 1 2
100 5
+ 1 19
x 1 100
+ 1 14
+ 1 8
+ 1 1
87 3
+ 1 45
x 1 15
+ 1 38
100 3
+ 1 1
x 1 87
+ 1 10
100 10
+ 1 14
+ 1 54
+ 1 51
+ 1 1
+ 1 25
+ 1 59
+ 1 21
+ 1 7
x 1 83
+ 1 71
30 1
o 1 6
100 3
+ 1 3
+ 1 1
x 1 71
100 2
+ 1 12
+ 1 1
100 2
+ 1 1
x 1 20
100 3
+ 1 1
+ 1 2
+ 1 7
99 0
64 2
o 1 17
+ 1 14
34 3
+ 1 14
o 1 4
+ 1 18
100 100
+ 1 20
+ 1 61
+ 1 97
+ 1 76
+ 1 46
+ 1 6
+ 1 21
+ 1 50
+ 1 81
+ 1 18
+ 1 42
+ 1 10
+ 1 78
+ 1 70
+ 1 13
+ 1 67
+ 1 17
+ 1 86
+ 1 74
+ 1 28
+ 1 32
+ 1 88
+ 1 100
+ 1 25
+ 1 98
+ 1 39
+ 1 73
+ 1 82
+ 1 8
+ 1 72
+ 1 77
+ 1 3
o 1 60
+ 1 36
+ 1 63
+ 1 2
+ 1 55
+ 1 62
+ 1 38
+ 1 22
+ 1 85
+ 1 71
+ 1 93
+ 1 12
+ 1 1
+ 1 23
+ 1 40
+ 1 94
+ 1 68
+ 1 83
+ 1 44
+ 1 80
+ 1 84
+ 1 87
+ 1 54
+ 1 11
+ 1 91
+ 1 59
+ 1 79
+ 1 41
+ 1 48
+ 1 95
+ 1 5
+ 1 29
+ 1 37
+ 1 64
+ 1 26
+ 1 89
+ 1 30
+ 1 45
+ 1 56
+ 1 35
+ 1 47
+ 1 65
+ 1 33
+ 1 57
+ 1 69
+ 1 90
+ 1 92
+ 1 27
+ 1 96
+ 1 43
+ 1 49
+ 1 24
+ 1 19
+ 1 16
+ 1 75
+ 1 7
+ 1 9
+ 1 51
+ 1 99
+ 1 34
+ 1 58
+ 1 14
+ 1 52
+ 1 15
+ 1 66
+ 1 4
+ 1 53
+ 1 31
23 4
+ 1 9
+ 1 13
+ 1 18
o 1 21
100 5
+ 1 1
+ 1 78
+ 1 50
+ 1 13
+ 1 76
59 4
+ 1 22
+ 1 27
o 1 41
+ 1 23
